level,set,items,weight
1,S0,15,1
1,S1,69,1
1,L2,16,1
2,S0,15,1
2,S1,69,1.4
2,S2,196,1.3
2,S3,534,0.2
2,L2,16,1
2,L3,36,0.5
2,L4,100,0.2
3,S1,69,1
3,S2,196,1.5
3,S3,534,1.3
3,S4,698,0.5
3,L3,36,1
3,L4,100,1
3,L5,314,0.5
4,S2,196,1
4,S3,534,1.3
4,S4,698,1.5
4,S5,1268,0.6
4,S6,2021,0.3
4,L4,100,1
4,L5,314,0.8
4,L6,909,0.5
5,S3,534,1
5,S4,698,1.3
5,S5,1268,1.5
5,S6,2021,1.2
5,S7,2806,0.5
5,L5,314,1
5,L6,909,0.8
5,L7,1086,0.5
6,S4,698,1
6,S5,1268,1.3
6,S6,2021,1.5
6,S7,2806,1.3
6,S8,3785,1
6,S9,4374,0.6
6,L6,909,1
6,L7,1086,0.8
6,L8,1821,0.5
7,S6,2021,1
7,S7,2806,1.5
7,S8,3785,1.5
7,S9,4374,1.3
7,S10,4503,1
7,S11,4470,0.7
7,L7,1086,0.8
7,L8,1821,0.65
7,L9,2278,0.4
8,S6,2021,0.7
8,S7,2806,1
8,S8,3785,1.5
8,S9,4374,1.3
8,S10,4503,1.3
8,S11,4470,1.3
8,S12,4276,1.5
8,S13,4380,1.3
8,L8,1821,0.7
8,L9,2278,0.5
9,S7,2806,0.7
9,S8,3785,1.2
9,S9,4374,1.5
9,S10,4503,1.4
9,S11,4470,1.2
9,S12,4276,1.2
9,S13,4380,1.4
9,S14,4674,1.5
9,L9,2278,0.7
9,L10,2558,0.5
10,S8,3785,0.7
10,S9,4374,1.4
10,S10,4503,1.5
10,S11,4470,1.5
10,S12,4276,1.2
10,S13,4380,1.3
10,S14,4674,1.5
10,S15,5269,1.3
10,L10,2558,0.6
10,L11,2005,0.5
11,S8,3785,0.7
11,S9,4374,1
11,S10,4503,1.5
11,S11,4470,1.7
11,S12,4276,1.4
11,S13,4380,1.3
11,S14,4674,1.4
11,S15,5269,1.2
11,L11,2005,0.55
11,L12,2013,0.4
12,S8,3785,0.6
12,S9,4374,1
12,S10,4503,1.3
12,S11,4470,1.4
12,S12,4276,1.7
12,S13,4380,1.5
12,S14,4674,1.4
12,S15,5269,1.2
12,L12,2013,0.5
12,L13,2072,0.35
13,S8,3785,0.5
13,S9,4374,0.6
13,S10,4503,0.8
13,S11,4470,1
13,S12,4276,1.6
13,S13,4380,2
13,S14,4674,1.5
13,S15,5269,1.4
13,L13,2072,0.5
13,L14,2433,0.35
14,S8,3785,0.3
14,S9,4374,0.4
14,S10,4503,0.5
14,S11,4470,0.9
14,S12,4276,1.7
14,S13,4380,2
14,S14,4674,2.2
14,S15,5269,2
14,L14,2433,0.3
14,L15,2137,0.2
15,S8,3785,0.2
15,S9,4374,0.3
15,S10,4503,0.4
15,S11,4470,0.8
15,S12,4276,1
15,S13,4380,1.4
15,S14,4674,1.7
15,S15,5269,2
15,L14,2433,0.2
15,L15,2137,0.3
