Question,Answers,Comment,Instructions,Render as
闇雲,やみくも,reckless; (at) random; haphazard,Type the reading!,Image
盗み,ぬすみ,stealing; theft,Type the reading!,Image
至高,しこう,supreme; sublime; highest,Type the reading!,Image
軽減,けいげん,abatement; reduction,Type the reading!,Image
共鳴,きょうめい,"resonance; sympathy (with a view, idea, etc.)",Type the reading!,Image
両脇,りょうわき,both sides,Type the reading!,Image
亡き,なき,deceased; late; dead,Type the reading!,Image
継承,けいしょう,inheritance; succession; accession,Type the reading!,Image
雨が降る,あめがふる,to rain,Type the reading!,Image
満足感,まんぞくかん,feeling of satisfaction,Type the reading!,Image
匂う,におう,to be fragrant; to smell (good); to stink,Type the reading!,Image
襲い掛かる,おそいかかる,to attack; to go for; to come at,Type the reading!,Image
狂,きょう,(some type of) enthusiast; someone possessed of a (certain kind of) mental abnormality,Type the reading!,Image
侵食,しんしょく,encroachment; erosion; corrosion,Type the reading!,Image
お陰,おかげ,grace (of God); benevolence (of Buddha); blessing,Type the reading!,Image
逆手,"さかて,ぎゃくて",reverse grip (e.g. of a sword),Type the reading!,Image
通販,つうはん,online shopping; e-commerce; mail order,Type the reading!,Image
日陰,ひかげ,shade; shadow,Type the reading!,Image
言い争い,いいあらそい,a quarrel; argument,Type the reading!,Image
降臨,"こうりん,ごうりん","descent (to earth, esp. of a god); advent; epiphany",Type the reading!,Image
幾,"いく,ほとほと",some; several; a few,Type the reading!,Image
街並み,まちなみ,townscape; street (of stores and houses); (look of) stores and houses on street,Type the reading!,Image
厳禁,げんきん,strict prohibition; ban; interdiction,Type the reading!,Image
沈み込む,しずみこむ,to sink (into); to get depressed,Type the reading!,Image
小言,こごと,scolding; telling-off; rebuke,Type the reading!,Image
埋め合わせ,うめあわせ,compensation,Type the reading!,Image
熟知,じゅくち,being familiar with; having a thorough knowledge of; being well-informed about,Type the reading!,Image
真偽,しんぎ,truth or falsehood; genuineness; authenticity,Type the reading!,Image
自らの手で,みずからのてで,with one's own hands,Type the reading!,Image
蹴り飛ばす,けりとばす,to send flying with a kick,Type the reading!,Image
性根,"しょうね,しょうこん",nature; character; disposition,Type the reading!,Image
掘り出す,ほりだす,to dig out; to pick up,Type the reading!,Image
草木,"くさき,そうもく",plants; vegetation,Type the reading!,Image
跳ね,"はね,ハネ",(a) jump; splashes (usu. of mud); upward turn at the bottom (e.g. of a vertical stroke of a kanji or of a hairdo),Type the reading!,Image
脱線,だっせん,derailment; digression; deviation,Type the reading!,Image
装甲,そうこう,armoring; armouring; armor,Type the reading!,Image
幾度も,いくども,many times,Type the reading!,Image
塗り替える,ぬりかえる,to repaint; to paint again; to paint (a different colour),Type the reading!,Image
照準,しょうじゅん,sight (e.g. of a gun); aim; alignment,Type the reading!,Image
従者,"じゅうしゃ,じゅしゃ",attendant; valet; servant,Type the reading!,Image
暴れ回る,あばれまわる,to rampage; to run riot,Type the reading!,Image
広範囲,こうはんい,extensive; vast range; wide scope,Type the reading!,Image
挑発的,ちょうはつてき,provocative; incendiary; inflammatory,Type the reading!,Image
年季,ねんき,period of an apprentice's contract (usu. ten years); apprenticeship; indentureship,Type the reading!,Image
裏返し,うらがえし,inside out; upside down; flip side,Type the reading!,Image
薬草,やくそう,medicinal herb,Type the reading!,Image
猛獣,もうじゅう,fierce animal; beast of prey; big game,Type the reading!,Image
お誕生日,おたんじょうび,birthday,Type the reading!,Image
責め立てる,せめたてる,to criticize harshly; to blame; to accuse,Type the reading!,Image
揉みしだく,もみしだく,to crumple (up); to wrinkle; to rub thoroughly,Type the reading!,Image
風紀,ふうき,public morals; discipline; rules governing social behavior,Type the reading!,Image
湧き出る,わきでる,to gush forth (e.g. water from a spring); to flow (out); to stream (out),Type the reading!,Image
抑え,おさえ,weight (e.g. paperweight); pressing down; keeping control,Type the reading!,Image
幻聴,げんちょう,auditory hallucination,Type the reading!,Image
悲願,ひがん,one's dearest wish; Buddha's vow to save humanity,Type the reading!,Image
備え,そなえ,preparation; provision; guarding,Type the reading!,Image
虚勢,きょせい,bluff; false show of power; bold front,Type the reading!,Image
称賛,しょうさん,praise; admiration; commendation,Type the reading!,Image
幾つか,いくつか,(a) few; some; several,Type the reading!,Image
救援,きゅうえん,relief; rescue,Type the reading!,Image
誕生日プレゼント,たんじょうびプレゼント,birthday present,Type the reading!,Image
挙動不審,きょどうふしん,suspicious behavior; acting suspiciously,Type the reading!,Image
張り裂ける,はりさける,to burst (open); to break; to split,Type the reading!,Image
風邪ひく,かぜひく,to catch a cold,Type the reading!,Image
昇格,しょうかく,promotion; raising of status,Type the reading!,Image
大衆,たいしゅう,general public; the masses,Type the reading!,Image
置き換える,おきかえる,to move (something) to another location; to change the position of; to rearrange,Type the reading!,Image
忍び寄る,しのびよる,to creep; to steal up; to draw near unnoticed,Type the reading!,Image
令嬢,れいじょう,(your) daughter; young woman; daughter of a good family,Type the reading!,Image
厳格,げんかく,strict; severe; stern,Type the reading!,Image
いつにも増して,いつにもまして,more than usual; especially; particularly,Type the reading!,Image
騒音,そうおん,noise; din,Type the reading!,Image
着飾る,きかざる,to dress up,Type the reading!,Image
倍増,ばいぞう,doubling; double,Type the reading!,Image
根底,こんてい,root; basis; foundation,Type the reading!,Image
尻目,しりめ,looking at from the corner of one's eye; sidelong glance; disregarding,Type the reading!,Image
糸口,いとぐち,beginning; start; first step,Type the reading!,Image
命に関わる,いのちにかかわる,to be a matter of life or death; to be life-threatening,Type the reading!,Image
充血,じゅうけつ,congestion (with blood); hyperemia; hyperaemia,Type the reading!,Image
二人組,"ふたりぐみ,ににんぐみ",twosome; duo; pair,Type the reading!,Image
数分後,すうふんご,a few minutes later; after a few minutes,Type the reading!,Image
悪影響,あくえいきょう,bad influence; negative influence,Type the reading!,Image
罪深い,つみぶかい,sinful; wicked; immoral,Type the reading!,Image
王者,"おうじゃ,おうしゃ",king; monarch; ruler,Type the reading!,Image
漫画家,まんがか,cartoonist; comic book artist; manga artist,Type the reading!,Image
怒声,どせい,angry voice,Type the reading!,Image
傷跡,きずあと,scar,Type the reading!,Image
跡取り,あととり,heir; heiress; inheritor,Type the reading!,Image
軍勢,ぐんぜい,military forces; army; troops,Type the reading!,Image
掘り返す,ほりかえす,to dig up; to turn up; to tear up,Type the reading!,Image
視聴者,しちょうしゃ,viewer; (television) audience,Type the reading!,Image
熱する,ねっする,to heat; to heat up; to get excited,Type the reading!,Image
機械的,きかいてき,mechanical,Type the reading!,Image
無抵抗,むていこう,nonresistance,Type the reading!,Image
お偉いさん,"おえらいさん,おエライさん",big shot; higher-ups,Type the reading!,Image
密集,みっしゅう,crowding together; clustering together; close formation,Type the reading!,Image
筋肉痛,きんにくつう,muscular pain; myalgia; aching muscles,Type the reading!,Image
ルール違反,ルールいはん,rule violation; rule infraction; infringement of the rules,Type the reading!,Image
支え合う,ささえあう,to support each other; to support one another,Type the reading!,Image
盗み見る,ぬすみみる,to steal a glance (at); to look furtively (at); to take a peek (at),Type the reading!,Image
敗,はい,loss; defeat; counter for losses,Type the reading!,Image
円を描く,"えんをえがく,えんをかく","to make a circle (of a motion, arrangement, etc.); to move (e.g. one's head) in a circle; to form (the shape of) a circle",Type the reading!,Image
服従,ふくじゅう,obedience; submission; resignation,Type the reading!,Image
講じる,こうじる,to lecture; to read aloud; to give a lecture (on),Type the reading!,Image
上り詰める,のぼりつめる,to go to the top; to climb to the top; to ascend to the top,Type the reading!,Image
合致,がっち,agreement; concurrence; conformance,Type the reading!,Image
噛み締める,かみしめる,to chew thoroughly; to bite (e.g. one's lip); to reflect upon,Type the reading!,Image
書籍,"しょせき,しょじゃく",book; publication,Type the reading!,Image
引き延ばす,ひきのばす,to stretch larger; to enlarge (photos); to delay (e.g. the end of a meeting),Type the reading!,Image
設計図,せっけいず,plan; blueprint,Type the reading!,Image
改革,かいかく,reform; reformation; reorganization,Type the reading!,Image
大暴れ,おおあばれ,rampaging; raging violently; going berserk,Type the reading!,Image
野獣,やじゅう,wild beast; wild animal; brute,Type the reading!,Image
言葉を交わす,ことばをかわす,to exchange words,Type the reading!,Image
手厳しい,てきびしい,"harsh (criticism, treatment, etc.); severe; hard",Type the reading!,Image
欠かせない,かかせない,indispensable; vital; fundamental,Type the reading!,Image
手当たり次第,てあたりしだい,using anything one can lay one's hands on; haphazardly; on the rebound,Type the reading!,Image
別件,べっけん,separate case; another matter; different matter,Type the reading!,Image
死守,ししゅ,defending to the last; desperate defence; stubborn defence,Type the reading!,Image
圧縮,あっしゅく,compression; condensing; shortening,Type the reading!,Image
爆笑,ばくしょう,roar of laughter (from multiple people); burst of laughter; uproarious laughter,Type the reading!,Image
差し金,さしがね,carpenter's square; instigation; suggestion,Type the reading!,Image
幅広い,はばひろい,extensive; wide; broad,Type the reading!,Image
鮮血,せんけつ,fresh blood,Type the reading!,Image
短縮,たんしゅく,shortening; contraction; reduction,Type the reading!,Image
ひれ伏す,ひれふす,to prostrate oneself (before),Type the reading!,Image
本拠地,ほんきょち,stronghold; inner citadel; base,Type the reading!,Image
在籍,ざいせき,"being enrolled (at a school); being registered; being a member (of a team, organization, etc.)",Type the reading!,Image
吹き荒れる,ふきあれる,to blow violently; to sweep over; to devastate,Type the reading!,Image
逆さ,さかさ,inverted; upside down; reversed,Type the reading!,Image
蹴飛ばす,けとばす,to kick (hard); to send flying with a kick; to kick away,Type the reading!,Image
偶然にも,ぐうぜんにも,by chance; coincidentally; as it happens,Type the reading!,Image
お参り,おまいり,"visit (to a shrine, grave, etc.); worship",Type the reading!,Image
塗りつぶす,ぬりつぶす,to paint over; to paint out; to fill in,Type the reading!,Image
筋書き,すじがき,synopsis; outline; plot,Type the reading!,Image
奇怪,"きかい,きっかい",strange; wonderful; weird,Type the reading!,Image
目に映る,めにうつる,to be visible to; to be seen by; to meet one's eyes,Type the reading!,Image
噛み合う,かみあう,"to mesh (of gears, cogs, etc.); to engage with each other; to meet (of teeth)",Type the reading!,Image
必至,ひっし,inevitable; necessary; foregone,Type the reading!,Image
電子書籍,でんししょせき,ebook; e-book; electronic book,Type the reading!,Image
奏する,そうする,to report to the Emperor; to play (musical instrument); to accomplish,Type the reading!,Image
空虚,くうきょ,emptiness; hollowness; vacancy,Type the reading!,Image
依頼人,いらいにん,client; requester,Type the reading!,Image
取引先,とりひきさき,customer; client; client company,Type the reading!,Image
不法侵入,ふほうしんにゅう,trespassing; intrusion,Type the reading!,Image
寝返る,ねがえる,to change sides; to double-cross; to betray,Type the reading!,Image
