Question,Answers,Comment,Instructions,Render as
胯,また,groin; thigh; crotch,Type the reading!,Image
短尺,"たんざく,たんじゃく","tanzaku; long, narrow strip of paper on which Japanese poems are written (vertically); thin rectangle",Type the reading!,Image
面晤,めんご,face-to-face conversation; interview,Type the reading!,Image
慴伏,しょうふく,prostrating oneself in fear; kneeling in fear; crouching in fear,Type the reading!,Image
胡同,"フートン,こどう",hutong (narrow street or alley in a traditional residential area of a Chinese c…,Type the reading!,Image
田荘,たどころ,farmland; private farm estates from before the Taika reform,Type the reading!,Image
何の某,なんのなにがし,certain person; certain amount,Type the reading!,Image
余っ程,よっぽど,very; greatly; much,Type the reading!,Image
復讎,ふくしゅう,revenge,Type the reading!,Image
ブタもおだてりゃ木に登る,ブタもおだてりゃきにのぼる,flattery will motivate anyone; flattery can do wonders; even a pig will climb up a tree if flattered,Type the reading!,Image
物分かりがよい,"ものわかりがいい,ものわかりがよい",sensible; perceptive; quick to understand,Type the reading!,Image
鋺,かなまり,small metal bowl,Type the reading!,Image
欺騙,"きへん,ぎへん",deception; deceit; cheating,Type the reading!,Image
屁っ放り腰,へっぴりごし,bent back; prone posture; weak-kneed,Type the reading!,Image
家庭ゴミ,かていゴミ,household garbage; household trash; household refuse,Type the reading!,Image
滴し,たらし,dripping; drop,Type the reading!,Image
棒振,"ぼうふら,ぼうふり,ボーフラ,ボウフラ",mosquito larva; wriggler; maggot,Type the reading!,Image
浮いたウワサ,ういたウワサ,amorous rumour (rumor); romantic gossip,Type the reading!,Image
まじ卍,まじまんじ,wow; kewl; awes,Type the reading!,Image
聞き分けがよい,ききわけがよい,reasonable (person); obedient (e.g. child); doing what one is told,Type the reading!,Image
金頭,"カナガシラ,かながしら",redwing searobin (Lepidotrigla microptera),Type the reading!,Image
上がりかまち,"あがりがまち,あがりかまち",piece of wood at the front edge of an entranceway floor; front portion of the floor of the genkan,Type the reading!,Image
縄鏢,じょうひょう,rope dart; rope javelin,Type the reading!,Image
廃める,やめる,to cancel; to abandon; to give up,Type the reading!,Image
羞しい,はずかしい,embarrassing; embarrassed; ashamed,Type the reading!,Image
厂,がんだれ,"kanji ""cliff"" radical (radical 27)",Type the reading!,Image
篩骨,しこつ,ethmoid bone (of the skull),Type the reading!,Image
御菜,"おかず,オカズ,おさい",small dish (usu. one of several accompanying rice); side dish; fill,Type the reading!,Image
倉廩,そうりん,rice granary,Type the reading!,Image
弽,ゆがけ,archer's glove (with a groove for pulling the string),Type the reading!,Image
鏈,くさり,chain; chains,Type the reading!,Image
紙衣,"かみこ,かみぎぬ",paper garment,Type the reading!,Image
二幅,ふたの,double-width cloth; woman's underskirt,Type the reading!,Image
枘,ほぞ,tenon; cog; pivot,Type the reading!,Image
簷,のき,eaves; narrow aisle surrounding the core of a temple building,Type the reading!,Image
伊邪那美命,"いざなみのみこと,イザナミノミコト","Izanami-no-Mikoto; Izanami; female deity who gave birth to Japan and the sun, moon, and storm gods",Type the reading!,Image
彼ぴ,かれぴ,boyfriend,Type the reading!,Image
阿弗利加,アフリカ,Africa,Type the reading!,Image
赤燐,せきりん,red phosphorus,Type the reading!,Image
えり分ける,えりわける,to classify; to sort out; to sift through,Type the reading!,Image
日本狼,"にほんおおかみ,ニホンオオカミ",Japanese wolf (Canis lupus hodophilax; extinct),Type the reading!,Image
勇猛精進,"ゆうみょうしょうじん,ゆうもうしょうじん",engage in ascetic practices with dauntless spirit,Type the reading!,Image
蠅帳,はいちょう,fly-net cupboard,Type the reading!,Image
伊邪那岐命,"いざなぎのみこと,いざなきのみこと,イザナギノミコト","Izanagi-no-Mikoto; Izanagi; male deity who fathered Japan and the sun, moon, and storm gods",Type the reading!,Image
腰撓め,こしだめ,shooting from the hip; starting something without sufficient preparation; acting on a vague estimate (of the situation),Type the reading!,Image
能平,"のっぺい,のっぺ","soup with fried tofu, shiitake mushrooms, carrots, sweet potatoes and daikon fl…",Type the reading!,Image
掻込む,"かいこむ,かっこむ",to carry under the arm; to scoop up (liquid),Type the reading!,Image
擯斥,ひんせき,rejection; ostracism,Type the reading!,Image
似我蜂,"ジガバチ,じがばち","red-banded sand wasp (Ammophila sabulosa); thread-waisted wasp (any wasp of family Sphecidae, incl. digger wasps and mud d…",Type the reading!,Image
竹むら,たかむら,bamboo grove,Type the reading!,Image
合歓の木,"ねむのき,ネムノキ",silk tree (Albizia julibrissin),Type the reading!,Image
日不見,"ひみず,ヒミズ",Japanese shrew mole (Urotrichus talpoides),Type the reading!,Image
彼所,"あそこ,あすこ,かしこ,アソコ,あしこ,あこ",genitals; private parts; nether regions,Type the reading!,Image
両個,りゃんこ,two; samurai,Type the reading!,Image
渫う,さらう,to sweep away; to wash away; to dredge,Type the reading!,Image
出這入り,ではいり,going in and out; entering and exiting; visiting regularly,Type the reading!,Image
脛巾,はばき,leggings; gaiters,Type the reading!,Image
水黽,"あめんぼ,あめんぼう,アメンボ,アメンボウ",pond skater (any insect of family Gerridae); water strider,Type the reading!,Image
御廻,おめぐり,dumpling cooked in miso served during the dog days of summer at the imperial co…; accompaniments for a rice dish; wooden pestle,Type the reading!,Image
小夜啼鳥,"さよなきどり,サヨナキドリ",nightingale (Luscinia megarhynchos),Type the reading!,Image
和布,"わかめ,ワカメ","wakame (species of edible brown seaweed, Undaria pinnatifida)",Type the reading!,Image
盈ちる,みちる,to fill; to become full (of); to be filled (with),Type the reading!,Image
沙魚,"ハゼ,はぜ",goby (fish); yellowfin goby (Acanthogobius flavimanus),Type the reading!,Image
接伴,せっぱん,entertain,Type the reading!,Image
手棒,"てんぼう,てぼう",person missing at least one hand,Type the reading!,Image
覇王樹,"サボテン,はおうじゅ",cactus,Type the reading!,Image
犢鼻褌,"ふんどし,ふどし,たふさ,とうさぎ,とくびこん",kimono underskirt; wrestler's ornamental apron,Type the reading!,Image
寫眞,しゃしん,photograph; photo; picture,Type the reading!,Image
荵,"しのぶ,シノブ",squirrel's foot fern (Davallia mariesii); Lepisorus thunbergianus (species of fern); color of clothing layers under one's overcoat (light green on blue),Type the reading!,Image
尨犬,むくいぬ,shaggy dog,Type the reading!,Image
上湯,"シャンタン,かみゆ",top-grade Chinese soup stock,Type the reading!,Image
本まぐろ,"ほんまぐろ,ホンマグロ","Pacific bluefin tuna (edible fish, Thunnus orientalis)",Type the reading!,Image
妹兄,いもせ,couple; husband and wife; man and wife,Type the reading!,Image
洗滌,"せんでき,せんじょう",washing; cleansing; cleaning,Type the reading!,Image
芋ケンピ,いもケンピ,sweetened sweet potato fries; fried strips of sweet potato coated with sugar,Type the reading!,Image
