kanjireading,rank,weight
見[み],1,75.117873128895
気[き],2,77.752883482417
言[い],3,89.735052319159
手[て],4,103.459786970447
思[おも],5,104.813843911505
何[なに],6,126.167142435359
一[いっ],7,136.958254943881
分[ぶん],8,141.843262042661
自[じ],9,145.747002673555
目[め],10,153.987764088836
私[わたし],11,154.329072443253
大[だい],12,157.082308423410
出[で],13,171.951416939617
本[ほん],14,175.843029859531
出[だ],15,176.572930606130
今[いま],16,176.793266242724
前[まえ],17,178.520998471269
的[てき],18,181.121957994917
一[いち],19,181.921051255541
人[じん],20,185.526473311613
人[ひと],21,188.829680621592
度[ど],22,202.666414761418
意[い],23,205.033804789268
合[あ],24,205.320335151079
理[り],25,208.245235858141
者[しゃ],26,210.657171514053
事[じ],27,210.851146496151
取[と],28,212.599618278719
不[ふ],29,213.424775470867
行[い],30,214.516135268850
持[も],31,217.932654888060
人[にん],32,219.794235251874
中[ちゅう],33,220.187420704174
感[かん],34,222.205134742350
無[む],35,222.624674454359
生[せい],36,226.080290921403
時[じ],37,227.474738152920
込[こ],38,227.962121260281
知[し],39,229.062908069043
最[さい],40,235.768735559312
体[たい],41,240.220548996639
聞[き],42,247.362071215914
当[とう],43,251.389239513211
全[ぜん],44,252.015100972002
力[りょく],45,253.938707978057
俺[おれ],46,254.806665835461
間[かん],47,262.620466840899
子[こ],48,262.757295972926
物[もの],49,263.219812494930
上[あ],50,267.244829254618
心[しん],51,268.005917827922
用[よう],52,270.396847582004
年[ねん],53,272.245893970808
来[く],54,273.212526950845
何[なん],55,276.723757623094
大[おお],56,279.637059279801
性[せい],57,280.698934840599
動[どう],58,281.754095463846
違[ちが],59,283.322528649400
入[い],60,285.161709740808
立[た],61,288.304621861527
会[かい],62,293.005937938221
学[がく],63,293.868951972122
部[ぶ],64,303.902617441167
上[じょう],65,304.173508240910
場[ば],66,309.368191886839
中[なか],67,309.692279604539
引[ひ],68,316.579875783324
間[ま],69,318.449810759785
対[たい],70,319.586144145628
死[し],71,320.839982525662
誰[だれ],72,324.997318603844
地[ち],73,340.673665801298
待[ま],74,341.213541368682
行[こう],75,345.281701306953
切[き],76,347.823038114708
味[み],77,362.864557122677
大[たい],78,363.265769598782
先[さき],79,367.123752290514
付[つ],80,370.904725203290
機[き],81,371.365034325146
方[ほう],82,373.013959806279
外[がい],83,373.437203854815
信[しん],84,382.021371051613
話[はなし],85,383.131828607173
戦[せん],86,383.510985173524
悪[わる],87,384.888394442390
子[し],88,388.178117637023
然[ぜん],89,388.604486262382
仕[し],90,392.340064679423
面[めん],91,397.351504030569
定[てい],92,402.048529207613
実[じつ],93,407.144723188724
女[じょ],94,414.149494293673
早[はや],95,416.033661314642
考[かんが],96,416.343066777968
落[お],97,417.542281641666
回[かい],98,418.634200303998
顔[かお],99,424.252159234737
向[む],100,424.588427276517
業[ぎょう],101,427.324757342331
同[どう],102,427.395657908239
変[へん],103,428.076747786624
通[つう],104,431.786143561470
情[じょう],105,438.022784251979
内[ない],106,438.913410507883
所[しょ],107,447.506523278523
家[か],108,448.661524990184
化[か],109,451.518555315518
関[かん],110,463.045187169701
以[い],111,463.067034031030
世[せ],112,464.631396909099
別[べつ],113,466.163397662938
身[み],114,470.212211561099
法[ほう],115,470.808715649688
国[こく],116,471.379447794441
入[はい],117,476.583296614507
事[ごと],118,476.668483583297
